rank,layer,head,accuracy
1,0,8,1.0
2,0,10,1.0
3,1,1,1.0
4,1,5,1.0
5,1,11,1.0
6,1,15,1.0
7,2,5,1.0
8,2,6,1.0
9,2,8,1.0
10,2,13,1.0
11,2,14,1.0
12,2,15,1.0
13,3,3,1.0
14,3,4,1.0
15,3,5,1.0
16,3,11,1.0
17,4,1,1.0
18,4,2,1.0
19,4,3,1.0
20,4,4,1.0
21,4,6,1.0
22,4,7,1.0
23,4,9,1.0
24,4,11,1.0
25,4,13,1.0
26,4,15,1.0
27,5,1,1.0
28,5,3,1.0
29,5,6,1.0
30,5,7,1.0
31,6,0,1.0
32,6,2,1.0
33,6,3,1.0
34,6,4,1.0
35,6,5,1.0
36,6,7,1.0
37,6,8,1.0
38,6,10,1.0
39,6,11,1.0
40,6,14,1.0
41,6,15,1.0
42,7,4,1.0
43,7,6,1.0
44,7,7,1.0
45,7,9,1.0
46,7,10,1.0
47,7,13,1.0
48,7,15,1.0
49,8,1,1.0
50,8,3,1.0
51,8,4,1.0
52,8,5,1.0
53,8,6,1.0
54,8,8,1.0
55,8,9,1.0
56,8,10,1.0
57,8,12,1.0
58,8,13,1.0
59,8,14,1.0
60,8,15,1.0
61,9,2,1.0
62,9,3,1.0
63,9,4,1.0
64,9,6,1.0
65,9,7,1.0
66,9,9,1.0
67,9,11,1.0
68,9,14,1.0
69,9,15,1.0
70,10,3,1.0
71,10,6,1.0
72,10,8,1.0
73,10,12,1.0
74,10,14,1.0
75,10,15,1.0
76,11,0,1.0
77,11,4,1.0
78,11,5,1.0
79,11,7,1.0
80,12,0,1.0
81,12,13,1.0
82,13,1,1.0
83,13,2,1.0
84,13,7,1.0
85,13,11,1.0
86,13,12,1.0
87,13,13,1.0
88,13,15,1.0
89,14,4,1.0
90,14,8,1.0
91,14,9,1.0
92,14,11,1.0
93,14,12,1.0
94,14,13,1.0
95,14,14,1.0
96,14,15,1.0
97,15,0,1.0
98,15,1,1.0
99,15,2,1.0
100,15,3,1.0
101,15,5,1.0
102,15,6,1.0
103,15,7,1.0
104,15,11,1.0
105,15,12,1.0
106,15,14,1.0
107,16,8,1.0
108,16,9,1.0
109,16,10,1.0
110,16,14,1.0
111,16,15,1.0
112,17,4,1.0
113,17,5,1.0
114,17,13,1.0
115,17,15,1.0
116,18,8,1.0
117,19,2,1.0
118,19,11,1.0
119,19,12,1.0
120,20,2,1.0
121,20,8,1.0
122,23,15,1.0
123,24,8,1.0
124,24,10,1.0
125,24,11,1.0
126,24,12,1.0
127,24,13,1.0
128,24,15,1.0
129,25,0,1.0
130,25,3,1.0
131,25,7,1.0
132,25,15,1.0
133,26,0,1.0
134,26,3,1.0
135,27,11,1.0
136,27,15,1.0
137,28,2,1.0
138,28,7,1.0
139,28,15,1.0
140,29,8,1.0
141,29,11,1.0
142,29,13,1.0
143,29,14,1.0
144,29,15,1.0
145,30,0,1.0
146,30,5,1.0
147,30,8,1.0
148,30,12,1.0
149,30,13,1.0
150,30,15,1.0
151,31,1,1.0
152,31,2,1.0
153,31,3,1.0
154,31,4,1.0
155,31,5,1.0
156,31,9,1.0
157,31,13,1.0
158,32,1,1.0
159,32,2,1.0
160,32,4,1.0
161,32,5,1.0
162,32,7,1.0
163,32,9,1.0
164,32,12,1.0
165,33,8,1.0
166,33,13,1.0
167,34,5,1.0
168,34,7,1.0
169,34,8,1.0
170,34,9,1.0
171,34,10,1.0
172,34,15,1.0
173,35,3,1.0
174,35,6,1.0
175,35,8,1.0
176,0,1,0.975
177,0,7,0.975
178,1,0,0.975
179,1,3,0.975
180,1,4,0.975
181,1,14,0.975
182,2,3,0.975
183,3,1,0.975
184,3,7,0.975
185,3,9,0.975
186,4,10,0.975
187,4,14,0.975
188,5,0,0.975
189,5,13,0.975
190,5,14,0.975
191,6,13,0.975
192,8,0,0.975
193,9,0,0.975
194,10,4,0.975
195,11,6,0.975
196,11,9,0.975
197,11,11,0.975
198,11,15,0.975
199,12,9,0.975
200,13,4,0.975
201,13,9,0.975
202,14,10,0.975
203,15,4,0.975
204,15,8,0.975
205,15,9,0.975
206,15,10,0.975
207,16,2,0.975
208,17,9,0.975
209,18,0,0.975
210,18,2,0.975
211,18,15,0.975
212,19,0,0.975
213,19,9,0.975
214,21,5,0.975
215,23,8,0.975
216,23,10,0.975
217,25,5,0.975
218,25,9,0.975
219,25,13,0.975
220,26,1,0.975
221,26,2,0.975
222,26,4,0.975
223,27,8,0.975
224,27,13,0.975
225,28,5,0.975
226,28,14,0.975
227,30,4,0.975
228,30,9,0.975
229,30,11,0.975
230,31,11,0.975
231,32,0,0.975
232,32,6,0.975
233,32,10,0.975
234,32,11,0.975
235,33,1,0.975
236,33,2,0.975
237,33,5,0.975
238,33,6,0.975
239,33,9,0.975
240,33,10,0.975
241,33,14,0.975
242,33,15,0.975
243,34,0,0.975
244,34,4,0.975
245,34,6,0.975
246,34,12,0.975
247,35,5,0.975
248,35,15,0.975
249,0,0,0.95
250,1,8,0.95
251,1,9,0.95
252,2,7,0.95
253,2,10,0.95
254,3,15,0.95
255,4,8,0.95
256,5,2,0.95
257,7,8,0.95
258,8,7,0.95
259,8,11,0.95
260,9,1,0.95
261,9,5,0.95
262,9,10,0.95
263,10,7,0.95
264,11,3,0.95
265,13,5,0.95
266,14,7,0.95
267,15,13,0.95
268,16,0,0.95
269,16,4,0.95
270,17,2,0.95
271,17,7,0.95
272,17,8,0.95
273,18,3,0.95
274,18,13,0.95
275,19,1,0.95
276,20,0,0.95
277,20,9,0.95
278,20,11,0.95
279,23,1,0.95
280,23,13,0.95
281,25,11,0.95
282,27,9,0.95
283,27,14,0.95
284,28,1,0.95
285,28,4,0.95
286,30,6,0.95
287,30,7,0.95
288,32,3,0.95
289,32,8,0.95
290,33,0,0.95
291,33,3,0.95
292,33,4,0.95
293,33,7,0.95
294,33,12,0.95
295,35,2,0.95
296,35,9,0.95
297,35,10,0.95
298,35,12,0.95
299,0,6,0.925
300,0,9,0.925
301,1,10,0.925
302,2,0,0.925
303,2,4,0.925
304,2,12,0.925
305,5,4,0.925
306,6,9,0.925
307,7,1,0.925
308,7,2,0.925
309,7,3,0.925
310,9,13,0.925
311,13,8,0.925
312,16,1,0.925
313,16,5,0.925
314,16,13,0.925
315,17,3,0.925
316,17,6,0.925
317,17,12,0.925
318,17,14,0.925
319,18,7,0.925
320,18,9,0.925
321,18,11,0.925
322,18,12,0.925
323,20,10,0.925
324,20,12,0.925
325,21,3,0.925
326,21,12,0.925
327,21,15,0.925
328,22,9,0.925
329,23,2,0.925
330,24,1,0.925
331,24,6,0.925
332,24,9,0.925
333,24,14,0.925
334,25,6,0.925
335,29,9,0.925
336,30,14,0.925
337,31,7,0.925
338,31,8,0.925
339,31,10,0.925
340,32,13,0.925
341,32,15,0.925
342,33,11,0.925
343,34,14,0.925
344,35,1,0.925
345,35,7,0.925
346,35,11,0.925
347,0,14,0.9
348,1,7,0.9
349,1,12,0.9
350,1,13,0.9
351,2,11,0.9
352,3,14,0.9
353,6,12,0.9
354,10,13,0.9
355,11,12,0.9
356,12,8,0.9
357,12,11,0.9
358,12,14,0.9
359,15,15,0.9
360,16,11,0.9
361,17,11,0.9
362,18,10,0.9
363,19,5,0.9
364,20,15,0.9
365,22,13,0.9
366,24,5,0.9
367,25,12,0.9
368,26,6,0.9
369,26,13,0.9
370,27,6,0.9
371,28,0,0.9
372,28,6,0.9
373,29,0,0.9
374,29,5,0.9
375,30,3,0.9
376,30,10,0.9
377,31,0,0.9
378,32,14,0.9
379,34,3,0.9
380,35,14,0.9
381,3,0,0.875
382,3,6,0.875
383,3,12,0.875
384,5,9,0.875
385,5,12,0.875
386,7,0,0.875
387,7,5,0.875
388,7,12,0.875
389,7,14,0.875
390,11,1,0.875
391,11,2,0.875
392,12,4,0.875
393,13,6,0.875
394,14,6,0.875
395,16,3,0.875
396,16,6,0.875
397,16,7,0.875
398,17,0,0.875
399,18,1,0.875
400,18,14,0.875
401,19,4,0.875
402,19,6,0.875
403,19,13,0.875
404,19,14,0.875
405,20,3,0.875
406,20,4,0.875
407,20,5,0.875
408,20,6,0.875
409,21,0,0.875
410,21,1,0.875
411,21,7,0.875
412,21,11,0.875
413,22,0,0.875
414,22,2,0.875
415,22,7,0.875
416,22,10,0.875
417,23,14,0.875
418,25,2,0.875
419,25,8,0.875
420,26,5,0.875
421,26,8,0.875
422,27,10,0.875
423,27,12,0.875
424,28,3,0.875
425,29,1,0.875
426,29,4,0.875
427,31,12,0.875
428,31,14,0.875
429,31,15,0.875
430,34,11,0.875
431,35,4,0.875
432,1,2,0.85
433,3,8,0.85
434,3,10,0.85
435,4,0,0.85
436,4,12,0.85
437,8,2,0.85
438,9,8,0.85
439,10,11,0.85
440,12,10,0.85
441,13,0,0.85
442,13,10,0.85
443,16,12,0.85
444,17,1,0.85
445,17,10,0.85
446,18,4,0.85
447,18,6,0.85
448,19,3,0.85
449,19,8,0.85
450,19,10,0.85
451,19,15,0.85
452,20,1,0.85
453,20,13,0.85
454,20,14,0.85
455,21,4,0.85
456,22,3,0.85
457,22,6,0.85
458,23,0,0.85
459,23,3,0.85
460,23,4,0.85
461,23,11,0.85
462,23,12,0.85
463,26,9,0.85
464,26,10,0.85
465,26,14,0.85
466,27,0,0.85
467,27,1,0.85
468,27,2,0.85
469,27,3,0.85
470,27,4,0.85
471,27,5,0.85
472,28,12,0.85
473,29,2,0.85
474,29,6,0.85
475,29,7,0.85
476,29,10,0.85
477,31,6,0.85
478,34,1,0.85
479,0,11,0.825
480,2,9,0.825
481,3,13,0.825
482,4,5,0.825
483,6,1,0.825
484,7,11,0.825
485,10,10,0.825
486,18,5,0.825
487,19,7,0.825
488,21,2,0.825
489,21,6,0.825
490,21,9,0.825
491,21,10,0.825
492,22,15,0.825
493,23,9,0.825
494,24,2,0.825
495,24,4,0.825
496,25,4,0.825
497,25,10,0.825
498,26,7,0.825
499,28,13,0.825
500,35,0,0.825
501,3,2,0.8
502,5,15,0.8
503,6,6,0.8
504,10,0,0.8
505,11,8,0.8
506,12,1,0.8
507,12,3,0.8
508,12,5,0.8
509,21,14,0.8
510,22,12,0.8
511,23,5,0.8
512,23,7,0.8
513,24,0,0.8
514,24,3,0.8
515,26,12,0.8
516,30,2,0.8
517,34,13,0.8
518,0,3,0.775
519,0,4,0.775
520,11,13,0.775
521,12,12,0.775
522,22,8,0.775
523,22,14,0.775
524,23,6,0.775
525,25,14,0.775
526,26,11,0.775
527,26,15,0.775
528,27,7,0.775
529,28,8,0.775
530,28,11,0.775
531,29,12,0.775
532,30,1,0.775
533,13,14,0.75
534,22,11,0.75
535,25,1,0.75
536,28,9,0.75
537,2,1,0.725
538,2,2,0.725
539,9,12,0.725
540,10,5,0.725
541,11,14,0.725
542,14,3,0.725
543,21,8,0.725
544,22,1,0.725
545,24,7,0.725
546,34,2,0.725
547,5,5,0.7
548,10,1,0.7
549,11,10,0.7
550,12,6,0.7
551,12,7,0.7
552,14,1,0.7
553,14,5,0.7
554,21,13,0.7
555,10,2,0.675
556,12,2,0.675
557,14,0,0.675
558,28,10,0.675
559,0,15,0.65
560,12,15,0.65
561,22,4,0.65
562,29,3,0.65
563,1,6,0.6
564,20,7,0.6
565,22,5,0.6
566,0,5,0.575
567,10,9,0.575
568,35,13,0.575
569,5,8,0.55
570,14,2,0.525
571,0,2,0.5
572,0,12,0.5
573,0,13,0.5
574,5,10,0.5
575,5,11,0.5
576,13,3,0.425
