rank,layer,head,accuracy
1,27,27,1.0
2,27,26,1.0
3,0,1,1.0
4,0,2,1.0
5,27,25,1.0
6,27,24,1.0
7,0,5,1.0
8,27,23,1.0
9,0,7,1.0
10,27,22,1.0
11,0,9,1.0
12,26,12,1.0
13,26,13,1.0
14,26,14,1.0
15,26,15,1.0
16,26,16,1.0
17,26,17,1.0
18,26,18,1.0
19,26,3,1.0
20,26,4,1.0
21,26,5,1.0
22,26,6,1.0
23,26,7,1.0
24,26,9,1.0
25,26,10,1.0
26,25,23,1.0
27,25,24,1.0
28,25,25,1.0
29,25,26,1.0
30,25,27,1.0
31,26,0,1.0
32,26,1,1.0
33,26,2,1.0
34,25,15,1.0
35,25,16,1.0
36,25,18,1.0
37,25,19,1.0
38,25,20,1.0
39,25,21,1.0
40,25,22,1.0
41,2,14,1.0
42,2,15,1.0
43,2,16,1.0
44,2,3,1.0
45,2,4,1.0
46,2,6,1.0
47,1,23,1.0
48,1,24,1.0
49,1,26,1.0
50,1,27,1.0
51,2,2,1.0
52,1,16,1.0
53,1,19,1.0
54,1,20,1.0
55,1,21,1.0
56,3,15,1.0
57,3,17,1.0
58,3,18,1.0
59,3,20,1.0
60,3,22,1.0
61,3,7,1.0
62,3,8,1.0
63,3,9,1.0
64,3,11,1.0
65,3,12,1.0
66,3,13,1.0
67,3,0,1.0
68,3,1,1.0
69,3,3,1.0
70,3,5,1.0
71,3,6,1.0
72,2,19,1.0
73,2,21,1.0
74,2,26,1.0
75,25,7,1.0
76,25,8,1.0
77,25,10,1.0
78,25,11,1.0
79,25,13,1.0
80,25,14,1.0
81,24,27,1.0
82,25,1,1.0
83,25,2,1.0
84,25,4,1.0
85,25,5,1.0
86,25,6,1.0
87,24,19,1.0
88,24,20,1.0
89,24,21,1.0
90,24,22,1.0
91,24,23,1.0
92,24,24,1.0
93,24,25,1.0
94,24,26,1.0
95,24,11,1.0
96,24,12,1.0
97,24,13,1.0
98,24,14,1.0
99,24,16,1.0
100,24,18,1.0
101,4,19,1.0
102,4,20,1.0
103,4,21,1.0
104,4,22,1.0
105,4,23,1.0
106,4,25,1.0
107,4,14,1.0
108,4,16,1.0
109,4,17,1.0
110,4,18,1.0
111,4,4,1.0
112,4,6,1.0
113,3,23,1.0
114,3,24,1.0
115,3,25,1.0
116,3,26,1.0
117,3,27,1.0
118,4,1,1.0
119,5,23,1.0
120,5,24,1.0
121,5,26,1.0
122,5,27,1.0
123,6,0,1.0
124,6,1,1.0
125,6,2,1.0
126,5,15,1.0
127,5,16,1.0
128,5,17,1.0
129,5,18,1.0
130,5,19,1.0
131,5,20,1.0
132,5,21,1.0
133,5,22,1.0
134,5,7,1.0
135,5,8,1.0
136,5,9,1.0
137,5,10,1.0
138,5,11,1.0
139,5,13,1.0
140,5,0,1.0
141,5,1,1.0
142,5,2,1.0
143,5,3,1.0
144,5,5,1.0
145,5,6,1.0
146,6,27,1.0
147,7,0,1.0
148,7,1,1.0
149,7,2,1.0
150,7,3,1.0
151,7,4,1.0
152,7,5,1.0
153,7,6,1.0
154,6,19,1.0
155,6,21,1.0
156,6,22,1.0
157,6,23,1.0
158,6,24,1.0
159,6,25,1.0
160,6,26,1.0
161,6,11,1.0
162,6,12,1.0
163,6,14,1.0
164,6,15,1.0
165,6,3,1.0
166,6,4,1.0
167,6,5,1.0
168,6,6,1.0
169,6,9,1.0
170,24,3,1.0
171,24,4,1.0
172,24,5,1.0
173,24,6,1.0
174,24,7,1.0
175,24,8,1.0
176,24,9,1.0
177,24,10,1.0
178,23,23,1.0
179,23,24,1.0
180,23,25,1.0
181,23,27,1.0
182,24,0,1.0
183,23,15,1.0
184,23,16,1.0
185,23,17,1.0
186,23,18,1.0
187,23,19,1.0
188,23,20,1.0
189,23,22,1.0
190,23,7,1.0
191,23,8,1.0
192,23,9,1.0
193,23,10,1.0
194,23,11,1.0
195,23,12,1.0
196,23,13,1.0
197,23,14,1.0
198,8,4,1.0
199,8,6,1.0
200,8,7,1.0
201,8,8,1.0
202,8,9,1.0
203,7,24,1.0
204,7,25,1.0
205,7,27,1.0
206,8,1,1.0
207,8,2,1.0
208,7,15,1.0
209,7,16,1.0
210,7,17,1.0
211,7,18,1.0
212,7,19,1.0
213,7,20,1.0
214,7,21,1.0
215,7,22,1.0
216,7,7,1.0
217,7,8,1.0
218,7,9,1.0
219,7,10,1.0
220,7,11,1.0
221,7,12,1.0
222,7,13,1.0
223,7,14,1.0
224,9,7,1.0
225,9,8,1.0
226,9,9,1.0
227,9,10,1.0
228,9,11,1.0
229,9,12,1.0
230,9,13,1.0
231,9,14,1.0
232,8,27,1.0
233,9,0,1.0
234,9,1,1.0
235,9,2,1.0
236,9,3,1.0
237,9,4,1.0
238,9,5,1.0
239,8,19,1.0
240,8,20,1.0
241,8,21,1.0
242,8,22,1.0
243,8,24,1.0
244,8,25,1.0
245,8,26,1.0
246,8,11,1.0
247,8,12,1.0
248,8,13,1.0
249,8,15,1.0
250,8,17,1.0
251,8,18,1.0
252,10,11,1.0
253,10,13,1.0
254,10,14,1.0
255,10,18,1.0
256,10,3,1.0
257,10,4,1.0
258,10,5,1.0
259,10,6,1.0
260,10,7,1.0
261,10,8,1.0
262,10,9,1.0
263,10,10,1.0
264,9,24,1.0
265,9,25,1.0
266,9,26,1.0
267,9,27,1.0
268,10,0,1.0
269,10,1,1.0
270,10,2,1.0
271,9,15,1.0
272,9,16,1.0
273,9,17,1.0
274,9,18,1.0
275,9,19,1.0
276,9,20,1.0
277,9,22,1.0
278,11,15,1.0
279,11,18,1.0
280,11,19,1.0
281,11,20,1.0
282,11,21,1.0
283,11,22,1.0
284,11,7,1.0
285,11,8,1.0
286,11,9,1.0
287,11,11,1.0
288,11,12,1.0
289,11,13,1.0
290,11,14,1.0
291,10,27,1.0
292,11,0,1.0
293,11,1,1.0
294,11,5,1.0
295,10,19,1.0
296,10,20,1.0
297,10,21,1.0
298,10,22,1.0
299,10,23,1.0
300,10,24,1.0
301,10,25,1.0
302,10,26,1.0
303,12,19,1.0
304,12,20,1.0
305,12,21,1.0
306,12,22,1.0
307,12,23,1.0
308,12,24,1.0
309,12,26,1.0
310,12,11,1.0
311,12,14,1.0
312,12,15,1.0
313,12,16,1.0
314,12,17,1.0
315,12,18,1.0
316,12,4,1.0
317,12,5,1.0
318,12,6,1.0
319,12,9,1.0
320,12,10,1.0
321,11,23,1.0
322,11,24,1.0
323,11,25,1.0
324,11,26,1.0
325,11,27,1.0
326,12,0,1.0
327,12,2,1.0
328,22,27,1.0
329,23,1,1.0
330,23,2,1.0
331,23,6,1.0
332,22,19,1.0
333,22,20,1.0
334,22,21,1.0
335,22,22,1.0
336,22,23,1.0
337,22,24,1.0
338,22,26,1.0
339,22,11,1.0
340,22,12,1.0
341,22,14,1.0
342,22,16,1.0
343,22,17,1.0
344,22,3,1.0
345,22,5,1.0
346,22,6,1.0
347,22,7,1.0
348,22,8,1.0
349,22,9,1.0
350,13,24,1.0
351,13,25,1.0
352,13,26,1.0
353,13,27,1.0
354,14,0,1.0
355,14,1,1.0
356,14,2,1.0
357,13,16,1.0
358,13,18,1.0
359,13,20,1.0
360,13,21,1.0
361,13,7,1.0
362,13,8,1.0
363,13,9,1.0
364,13,10,1.0
365,13,11,1.0
366,13,12,1.0
367,13,13,1.0
368,12,27,1.0
369,13,0,1.0
370,13,1,1.0
371,13,2,1.0
372,13,3,1.0
373,13,4,1.0
