rank,layer,head,accuracy
1,1,3,1.0
2,1,15,1.0
3,1,14,1.0
4,0,1,1.0
5,27,17,1.0
6,15,9,1.0
7,16,9,1.0
8,16,12,1.0
9,16,21,1.0
10,16,26,1.0
11,1,23,1.0
12,1,24,1.0
13,3,20,1.0
14,1,27,1.0
15,2,2,1.0
16,1,17,1.0
17,1,18,1.0
18,2,16,1.0
19,2,6,1.0
20,25,19,1.0
21,25,20,1.0
22,2,14,1.0
23,13,13,1.0
24,13,8,1.0
25,17,9,1.0
26,13,10,1.0
27,12,5,1.0
28,12,6,1.0
29,19,0,1.0
30,19,6,1.0
31,18,25,1.0
32,19,11,1.0
33,19,1,1.0
34,19,2,1.0
35,19,3,1.0
36,19,4,1.0
37,10,27,1.0
38,4,20,1.0
39,3,25,1.0
40,3,26,1.0
41,4,14,1.0
42,4,16,1.0
43,3,6,1.0
44,3,7,1.0
45,2,21,1.0
46,3,1,1.0
47,3,3,1.0
48,20,12,1.0
49,20,1,1.0
50,20,9,1.0
51,21,7,1.0
52,9,18,1.0
53,9,20,1.0
54,22,0,1.0
55,22,2,1.0
56,21,20,1.0
57,10,10,1.0
58,9,27,1.0
59,10,4,1.0
60,8,20,1.0
61,9,15,1.0
62,22,19,1.0
63,22,20,1.0
64,23,7,1.0
65,23,8,1.0
66,22,14,1.0
67,22,17,1.0
68,7,11,1.0
69,7,12,1.0
70,7,14,1.0
71,7,15,1.0
72,6,4,1.0
73,5,22,1.0
74,5,9,1.0
75,6,3,1.0
76,25,6,1.0
77,25,15,1.0
78,25,16,1.0
79,25,2,1.0
80,25,4,1.0
81,25,5,1.0
82,7,27,1.0
83,6,6,1.0
84,6,8,1.0
85,8,6,1.0
86,6,21,1.0
87,6,24,1.0
88,6,26,1.0
89,6,27,1.0
90,7,3,1.0
91,7,4,1.0
92,7,7,1.0
93,23,24,1.0
94,23,9,1.0
95,23,11,1.0
96,23,12,1.0
97,23,13,1.0
98,23,14,1.0
99,23,15,1.0
100,23,16,1.0
101,24,4,1.0
