rank,layer,head,accuracy
1,2,6,0.9516129032258065
2,4,16,0.9516129032258065
3,1,18,0.9516129032258065
4,0,5,0.9354838709677419
5,5,8,0.9354838709677419
6,5,10,0.9354838709677419
7,2,21,0.9354838709677419
8,4,14,0.9354838709677419
9,3,7,0.9354838709677419
10,1,0,0.9354838709677419
11,1,14,0.9354838709677419
12,0,7,0.9354838709677419
13,1,17,0.9354838709677419
14,4,20,0.9193548387096774
15,2,16,0.9193548387096774
16,5,22,0.9193548387096774
17,2,14,0.9193548387096774
18,5,9,0.9193548387096774
19,9,18,0.9193548387096774
20,2,27,0.9193548387096774
21,9,15,0.9193548387096774
22,22,19,0.9193548387096774
23,4,6,0.9193548387096774
24,10,10,0.9193548387096774
25,4,23,0.9193548387096774
26,9,3,0.9193548387096774
27,2,2,0.9193548387096774
28,1,23,0.9193548387096774
29,1,3,0.9193548387096774
30,5,7,0.9032258064516129
31,3,6,0.9032258064516129
32,4,21,0.9032258064516129
33,3,13,0.9032258064516129
34,1,19,0.9032258064516129
35,1,11,0.9032258064516129
36,1,24,0.9032258064516129
37,22,20,0.9032258064516129
38,6,23,0.9032258064516129
39,6,12,0.9032258064516129
40,9,20,0.9032258064516129
41,2,23,0.9032258064516129
42,5,16,0.9032258064516129
43,19,3,0.9032258064516129
44,16,10,0.9032258064516129
45,10,11,0.9032258064516129
46,24,9,0.9032258064516129
47,7,3,0.9032258064516129
48,8,11,0.9032258064516129
49,0,12,0.9032258064516129
50,0,16,0.9032258064516129
51,0,1,0.9032258064516129
52,2,11,0.9032258064516129
53,8,1,0.9032258064516129
54,8,17,0.9032258064516129
55,1,27,0.9032258064516129
56,7,15,0.9032258064516129
57,10,1,0.8870967741935484
58,10,4,0.8870967741935484
59,2,15,0.8870967741935484
60,2,18,0.8870967741935484
61,25,26,0.8870967741935484
62,0,13,0.8870967741935484
63,0,14,0.8870967741935484
64,2,7,0.8870967741935484
65,0,6,0.8870967741935484
66,23,22,0.8870967741935484
67,13,13,0.8870967741935484
68,9,12,0.8870967741935484
